image_id,iou,dice,precision,recall,f1,pixel_accuracy,hausdorff_distance,per_tooth_metrics,category
000004,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000008,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000010,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000018,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000019,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000024,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000025,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000031,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000037,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000040,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000041,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000042,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000043,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000044,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000045,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000046,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000047,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000052,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000053,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000057,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000064,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000068,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000073,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000078,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000079,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000084,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000087,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000090,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000091,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000097,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000104,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000108,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000113,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000118,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000119,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000125,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000126,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000130,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000133,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000134,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000151,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000152,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000168,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000179,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000185,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000186,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000192,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000197,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000205,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000209,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000212,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000219,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000227,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000233,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000236,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000242,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000244,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000250,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000251,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000253,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000256,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000265,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000269,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000271,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000278,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000284,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000287,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000293,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000296,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000305,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000309,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000311,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000318,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000324,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000330,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000331,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000336,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000344,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
000347,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,unknown
